Link,Company_Name,Et_Link
https://www.moneycontrol.com/company-article/tatamotors/news/TM03,Tata Motors,https://economictimes.indiatimes.com/tata-motors-ltd/stocks/tata-motors-ltd/stocksupdate/companyid-12934.cms
https://www.moneycontrol.com/company-article/infosys/news/IT,Infosys,https://economictimes.indiatimes.com/infosys-ltd/stocks/infosys-ltd/stocksupdate/companyid-10960.cms
https://www.moneycontrol.com/company-article/relianceindustries/news/RI,Reliance,https://economictimes.indiatimes.com/reliance-industries-ltd/stocks/reliance-industries-ltd/stocksupdate/companyid-13215.cms
https://www.moneycontrol.com/company-article/yesbank/news/YB,Yes Bank,https://economictimes.indiatimes.com/yes-bank-ltd/stocks/yes-bank-ltd/stocksupdate/companyid-16552.cms
http://www.moneycontrol.com/company-article/asianpaints/news/AP31,Asian Paints,https://economictimes.indiatimes.com/asian-paints-ltd/stocks/asian-paints-ltd/stocksupdate/companyid-14034.cms
http://www.moneycontrol.com/company-article/upl/news/UP04,UPL,https://economictimes.indiatimes.com/upl-ltd/stocks/upl-ltd/stocksupdate/companyid-6114.cms
https://www.moneycontrol.com/company-article/burgerkingindia/news/BKI01,Burger King India,https://economictimes.indiatimes.com/burger-king-india-ltd/stocks/burger-king-india-ltd/stocksupdate/companyid-1997181.cms
https://www.moneycontrol.com/company-article/mahindramahindra/news/MM,M&M,https://economictimes.indiatimes.com/mahindra-mahindra-ltd/stocks/mahindra-mahindra-ltd/stocksupdate/companyid-11898.cms
http://www.moneycontrol.com/company-article/tatasteel/news/TIS,TATA Steel,https://economictimes.indiatimes.com/tata-steel-ltd/stocks/tata-steel-ltd/stocksupdate/companyid-12902.cms 
https://www.moneycontrol.com/company-article/housingdevelopmentfinancecorporation/news/HDF,HDFC,https://economictimes.indiatimes.com/hdfc-bank-ltd/stocks/hdfc-bank-ltd/stocksupdate/companyid-9195.cms 
https://www.moneycontrol.com/company-article/larsentoubro/news/LT,L&T,https://economictimes.indiatimes.com/lt-technology-services-ltd/stocks/lt-technology-services-ltd/stocksupdate/companyid-64987.cms 
https://www.moneycontrol.com/company-article/icicibank/news/ICI02,ICICI,https://economictimes.indiatimes.com/icici-bank-ltd/stocks/icici-bank-ltd/stocksupdate/companyid-9194.cms 
